"Data Source","World Development Indicators",

"Last Updated Date","2025-10-07",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Eswatini","SWZ","International migrant stock, total","SM.POP.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","74991","","","","","35157","","","","","34084","","","","","33392","","","","","32637","","","","","32352","","","","","32858","","","","33268",
"Sint Maarten (Dutch part)","SXM","International migrant stock, total","SM.POP.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","23861","","","","","23861","","","","","23861","","","","","13099","","","","","26203","","","","","27295","","","","","28845","","","","30148",
"Seychelles","SYC","International migrant stock, total","SM.POP.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3721","","","","","5148","","","","","6574","","","","","8997","","","","","11420","","","","","12791","","","","","13050","","","","13261",
"Syrian Arab Republic","SYR","International migrant stock, total","SM.POP.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","714140","","","","","830610","","","","","834916","","","","","882398","","","","","1783595","","","","","835716","","","","","868711","","","","896042",
"Turks and Caicos Islands","TCA","International migrant stock, total","SM.POP.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5062","","","","","7039","","","","","9015","","","","","13115","","","","","17216","","","","","22723","","","","","25748","","","","28455",
"Chad","TCD","International migrant stock, total","SM.POP.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","74342","","","","","89584","","","","","104825","","","","","352130","","","","","417034","","","","","466968","","","","","547494","","","","1269673",
"East Asia & Pacific (IDA & IBRD countries)","TEA","International migrant stock, total","SM.POP.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2432310","","","","","2866161","","","","","3993563","","","","","5386851","","","","","7406821","","","","","8283999","","","","","9053113","","","","9805554",
"Europe & Central Asia (IDA & IBRD countries)","TEC","International migrant stock, total","SM.POP.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","31915984","","","","","30821593","","","","","28680757","","","","","27069573","","","","","25631672","","","","","25879349","","","","","27136817","","","","29739659",
"Togo","TGO","International migrant stock, total","SM.POP.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","84844","","","","","101583","","","","","137968","","","","","204219","","","","","255564","","","","","277384","","","","","279936","","","","281994",
"Thailand","THA","International migrant stock, total","SM.POP.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","287933","","","","","271568","","","","","771234","","","","","1705845","","","","","2640454","","","","","2853248","","","","","3015007","","","","3179399",
"Tajikistan","TJK","International migrant stock, total","SM.POP.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","428900","","","","","348347","","","","","299499","","","","","280466","","","","","279808","","","","","275101","","","","","276031","","","","276777",
"Turkmenistan","TKM","International migrant stock, total","SM.POP.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","306500","","","","","273565","","","","","219067","","","","","213053","","","","","197979","","","","","196376","","","","","194920","","","","193763",
"Latin America & the Caribbean (IDA & IBRD countries)","TLA","International migrant stock, total","SM.POP.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6527538","","","","","5948919","","","","","5749694","","","","","6251562","","","","","7419386","","","","","8240142","","","","","13386887","","","","16563374",
"Timor-Leste","TLS","International migrant stock, total","SM.POP.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8954","","","","","9743","","","","","10602","","","","","11286","","","","","11540","","","","","8520","","","","","8399","","","","8303",
"Middle East, North Africa, Afghanistan & Pakistan (IDA & IBRD)","TMN","International migrant stock, total","SM.POP.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14120991","","","","","10942060","","","","","11460845","","","","","11081884","","","","","14754366","","","","","16072752","","","","","16327619","","","","19074787",
"Tonga","TON","International migrant stock, total","SM.POP.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2911","","","","","3274","","","","","3684","","","","","4301","","","","","4607","","","","","3954","","","","","3742","","","","3581",
"South Asia (IDA & IBRD)","TSA","International migrant stock, total","SM.POP.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8598439","","","","","8549144","","","","","8196657","","","","","7822848","","","","","7670710","","","","","7339031","","","","","7696733","","","","8344814",
"Sub-Saharan Africa (IDA & IBRD countries)","TSS","International migrant stock, total","SM.POP.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15010768","","","","","15428241","","","","","14076421","","","","","15125040","","","","","16107384","","","","","20698560","","","","","23056558","","","","26297963",
"Trinidad and Tobago","TTO","International migrant stock, total","SM.POP.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","50666","","","","","45994","","","","","41753","","","","","44812","","","","","48226","","","","","50021","","","","","78849","","","","113478",
"Tunisia","TUN","International migrant stock, total","SM.POP.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","37984","","","","","37867","","","","","36719","","","","","35040","","","","","43172","","","","","56532","","","","","60145","","","","63201",
"Turkiye","TUR","International migrant stock, total","SM.POP.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1159415","","","","","1220898","","","","","1279019","","","","","1345188","","","","","1420433","","","","","3750982","","","","","6580295","","","","7083501",
"Tuvalu","TUV","International migrant stock, total","SM.POP.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","318","","","","","263","","","","","218","","","","","209","","","","","220","","","","","230","","","","","239","","","","246",
"Tanzania","TZA","International migrant stock, total","SM.POP.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","574025","","","","","1106043","","","","","949600","","","","","771153","","","","","309847","","","","","384567","","","","","426017","","","","462371",
"Uganda","UGA","International migrant stock, total","SM.POP.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","560570","","","","","666211","","","","","624296","","","","","637596","","","","","515055","","","","","823181","","","","","1776038","","","","2057759",
"Ukraine","UKR","International migrant stock, total","SM.POP.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6892920","","","","","6172338","","","","","5527087","","","","","5050302","","","","","4818767","","","","","4915142","","","","","4997387","","","","5064173",
"Upper middle income","UMC","International migrant stock, total","SM.POP.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","28811069","","","","","26136086","","","","","25203470","","","","","26352056","","","","","29386717","","","","","34610252","","","","","41867399","","","","47308911",
"Uruguay","URY","International migrant stock, total","SM.POP.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","98116","","","","","93428","","","","","88874","","","","","82317","","","","","76303","","","","","78799","","","","","108267","","","","160064",
"United States","USA","International migrant stock, total","SM.POP.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","23266147","","","","","28525723","","","","","34806848","","","","","39545828","","","","","43947211","","","","","47942986","","","","","50471028","","","","52375047",
"Uzbekistan","UZB","International migrant stock, total","SM.POP.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1653000","","","","","1512577","","","","","1406498","","","","","1329932","","","","","1220149","","","","","1170873","","","","","1162007","","","","1154963",
"St. Vincent and the Grenadines","VCT","International migrant stock, total","SM.POP.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3970","","","","","4135","","","","","4307","","","","","4436","","","","","4569","","","","","4637","","","","","4738","","","","4820",
"Venezuela, RB","VEN","International migrant stock, total","SM.POP.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1025009","","","","","1019996","","","","","1013738","","","","","1076474","","","","","1347347","","","","","1404448","","","","","1324193","","","","1263304",
"British Virgin Islands","VGB","International migrant stock, total","SM.POP.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8035","","","","","10046","","","","","12958","","","","","15016","","","","","17076","","","","","19535","","","","","22164","","","","24520",
"Virgin Islands (U.S.)","VIR","International migrant stock, total","SM.POP.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","51970","","","","","54241","","","","","56611","","","","","56647","","","","","56684","","","","","56721","","","","","56753","","","","56779",
"Viet Nam","VNM","International migrant stock, total","SM.POP.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","88560","","","","","88376","","","","","86213","","","","","81997","","","","","84408","","","","","101386","","","","","200639","","","","326418",
"Vanuatu","VUT","International migrant stock, total","SM.POP.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2308","","","","","2461","","","","","2626","","","","","2800","","","","","2991","","","","","3186","","","","","3257","","","","3315",
"World","WLD","International migrant stock, total","SM.POP.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","153647494","","","","","162851419","","","","","174173541","","","","","192340975","","","","","220531436","","","","","249519079","","","","","274711307","","","","303397238",
"Samoa","WSM","International migrant stock, total","SM.POP.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3357","","","","","4694","","","","","5998","","","","","5746","","","","","5122","","","","","4255","","","","","4021","","","","3843",
"Kosovo","XKX","International migrant stock, total","SM.POP.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Yemen, Rep.","YEM","International migrant stock, total","SM.POP.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","118863","","","","","136515","","","","","144940","","","","","171871","","","","","288394","","","","","379882","","","","","387113","","","","392997",
"South Africa","ZAF","International migrant stock, total","SM.POP.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1285707","","","","","1006597","","","","","997703","","","","","1513855","","","","","2274466","","","","","3162564","","","","","2639076","","","","2631100",
"Zambia","ZMB","International migrant stock, total","SM.POP.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","279463","","","","","244338","","","","","343703","","","","","252895","","","","","149962","","","","","132107","","","","","187955","","","","249205",
"Zimbabwe","ZWE","International migrant stock, total","SM.POP.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","634621","","","","","431226","","","","","410109","","","","","402226","","","","","398307","","","","","400482","","","","","416141","","","","429108",
