ISO3,year,value
SRB,2008,811066.8713927807
SRB,2009,749806.3759861472
SRB,2010,684578.02859654
SRB,2011,646874.7029659019
SRB,2012,643379.5003301444
SRB,2013,662429.4368254136
SRB,2014,620185.7158490068
SRB,2015,601083.828754839
SRB,2016,594002.9322702728
SRB,2017,554318.3213886378
SRB,2018,516450.9286502063
SRB,2019,505812.6921829392
SLE,1991,1119641.652364515
SLE,1992,1126398.0880972384
SLE,1993,1115805.3387438406
SLE,1994,1108082.8153237505
SLE,1995,1109379.0648764786
SLE,1996,1104869.5392468737
SLE,1997,1112227.1947743553
SLE,1998,1118720.4781371276
SLE,1999,1138816.8952164091
SLE,2000,1159158.1076027865
SLE,2001,1210080.1547112493
SLE,2002,1235444.8402489575
SLE,2003,1281235.5591311115
SLE,2004,1361672.804701154
SLE,2005,1396149.0663014536
SLE,2006,1415130.6016818334
SLE,2007,1420187.4672326515
SLE,2008,1422589.574044691
SLE,2009,1424872.225131617
SLE,2010,1423007.2875752866
SLE,2011,1414327.0075016026
SLE,2012,1392815.7786316504
SLE,2013,1366201.399336001
SLE,2014,1350330.220837037
SLE,2015,1407447.588810526
SLE,2016,1417275.8819812797
SLE,2017,1431148.3730495812
SLE,2018,1447794.1119529337
SLE,2019,1460919.4472421105
SGP,1991,4367.12081559686
SGP,1992,5188.73908649633
SGP,1993,4024.71591615175
SGP,1994,5240.421209616839
SGP,1995,4367.0447090199
SGP,1996,3629.63836179328
SGP,1997,3587.60713951805
SGP,1998,3728.226744986589
SGP,1999,3580.8103421271803
SGP,2000,3458.1295135467603
SGP,2001,3344.63113378524
SGP,2002,3342.39913369596
SGP,2003,3084.0110220286506
SGP,2004,3133.86642238476
SGP,2005,3012.9656841167
SGP,2006,3162.12377837985
SGP,2007,3099.49552251261
SGP,2008,3348.8759162781
SGP,2009,3193.54967096773
SGP,2010,3305.85856994674
SGP,2011,3399.18916909828
SGP,2012,3207.40903207409
SGP,2013,3272.4840327248403
SGP,2014,3027.54253455744
SGP,2015,2761.4431309639203
SGP,2016,2097.8045650365902
SGP,2017,2098.25096502915
SGP,2018,2096.16176506397
SGP,2019,1057.69946474335
SVK,1991,280405.966054325
SVK,1992,268655.2235920308
SVK,1993,262603.6958161512
SVK,1994,249904.4626658168
SVK,1995,228273.7992608373
SVK,1996,223923.2784140705
SVK,1997,230828.8925130857
SVK,1998,205538.6716609044
SVK,1999,184998.54
SVK,2000,179401.43047346993
SVK,2001,164832.56682981734
SVK,2002,172916.72741460678
SVK,2003,159496.44
SVK,2004,136110.6760913424
SVK,2005,126452.8375
SVK,2006,116494.88024411972
SVK,2007,111582.21990715544
SVK,2008,106206.32981915164
SVK,2009,95927.6697020112
SVK,2010,86678.85930987565
SVK,2011,82730.30715860277
SVK,2012,87833.06307108971
SVK,2013,89981.05755047723
SVK,2014,95346.615
SVK,2015,87126.3732356814
SVK,2016,79878.50470216009
SVK,2017,74851.98964958508
SVK,2018,63068.01875345644
SVK,2019,76701.03285532643
SVN,1991,101388.3642029755
SVN,1992,100584.2025
SVN,1993,99711.932996924
SVN,1994,108359.989096664
SVN,1995,98088.7028539026
SVN,1996,96537.1297591318
SVN,1997,116574.4746648534
SVN,1998,118200.6620641917
SVN,1999,104634.619047896
SVN,2000,92278.46766230154
SVN,2001,96403.8811265964
SVN,2002,95028.9926948824
SVN,2003,81292.4723546398
SVN,2004,98839.31790162592
SVN,2005,92833.08290474767
SVN,2006,98368.17986937762
SVN,2007,102886.46476825644
SVN,2008,89020.14728557419
SVN,2009,95171.758810353
SVN,2010,92062.71581642526
SVN,2011,87972.67189739377
SVN,2012,85382.5164906081
SVN,2013,86099.04999999999
SVN,2014,97972.63585980066
SVN,2015,71570.44483172968
SVN,2016,50117.82241031103
SVN,2017,57214.957013443774
SVN,2018,56855.000197125
SVN,2019,44003.4097590457
SLB,1991,76762.830380301
SLB,1992,78743.937687558
SLB,1993,81548.6982878452
SLB,1994,83177.40269756441
SLB,1995,85631.33343608721
SLB,1996,87950.5793379771
SLB,1997,91561.9284740856
SLB,1998,93395.7010934849
SLB,1999,96609.2948439219
SLB,2000,103073.4377482608
SLB,2001,104209.56368100882
SLB,2002,111672.2137135374
SLB,2003,115794.78144938742
SLB,2004,117096.065
SLB,2005,115366.53792802968
SLB,2006,115391.0488185936
SLB,2007,116733.637632605
SLB,2008,115234.1268933116
SLB,2009,118993.7216600971
SLB,2010,120290.715492954
SLB,2011,117578.8088600688
SLB,2012,117848.3075853292
SLB,2013,118707.53175109428
SLB,2014,120128.9599771864
SLB,2015,120890.9945523235
SLB,2016,122245.870575656
SLB,2017,123339.7410540048
SLB,2018,123999.818509365
SLB,2019,125271.840351672
SOM,1991,1697266.1771778578
SOM,1992,1698828.2267219347
SOM,1993,1697022.9998229374
SOM,1994,1712835.6881153751
SOM,1995,1725977.876964709
SOM,1996,1747189.252111525
SOM,1997,1787504.777448852
SOM,1998,1832487.842657892
SOM,1999,1881899.456872389
SOM,2000,1934296.0084088447
SOM,2001,1976762.8196047272
SOM,2002,2025457.2424141727
SOM,2003,2078698.229359876
SOM,2004,2134836.137085736
SOM,2005,2191664.1647679987
SOM,2006,2236720.8782450734
SOM,2007,2279232.2378817555
SOM,2008,2324861.473299306
SOM,2009,2376625.68
SOM,2010,2436654.1286293925
SOM,2011,2491593.6838563425
SOM,2012,2559761.2114718403
SOM,2013,2635221.3840321577
SOM,2014,2714635.8268905305
SOM,2015,2795770.7974559087
SOM,2016,2883881.460338341
SOM,2017,2977413.4829345606
SOM,2018,3072564.810809245
SOM,2019,3173581.54657168
ZAF,1991,1478988.0687540616
ZAF,1992,1524575.7385107256
ZAF,1993,1561953.0035254613
ZAF,1994,1593867.3659558084
ZAF,1995,1620906.1021197366
ZAF,1996,1636396.3321059078
ZAF,1997,1645275.8155659738
ZAF,1998,1654928.5023194363
ZAF,1999,1653077.1041826042
ZAF,2000,1634873.9593151603
ZAF,2001,1566255.3067437892
ZAF,2002,1493732.3440168577
ZAF,2003,1425571.609670153
ZAF,2004,1353497.408553177
ZAF,2005,1281494.4679315677
ZAF,2006,1209297.765
ZAF,2007,1139885.070733223
ZAF,2008,1078218.8545950877
ZAF,2009,964926.5139952388
ZAF,2010,916810.4200418572
ZAF,2011,884620.1397306706
ZAF,2012,953834.3741914256
ZAF,2013,1013745.5366677038
ZAF,2014,968493.603286428
ZAF,2015,1216725.4961626043
ZAF,2016,1230414.3190948395
ZAF,2017,1198127.615652801
ZAF,2018,1184141.584488824
ZAF,2019,1231635.5529855029
KOR,1955,6436000.0
KOR,1963,4609264.821
KOR,1964,4597829.804
KOR,1965,4583536.032
KOR,1966,4646428.627
KOR,1967,4584488.95
KOR,1968,4574959.77
KOR,1969,4597829.804
KOR,1970,4617841.084
KOR,1971,4646428.627
KOR,1972,5094300.131
KOR,1973,5306800.866
KOR,1974,5321094.637
KOR,1975,5169580.66
KOR,1976,5337294.245
KOR,1977,5150522.298
KOR,1978,4937068.645
KOR,1979,4656910.726
KOR,1980,4438692.482
KOR,1981,4574959.77
KOR,1982,4394858.25
KOR,1983,4111841.576
KOR,1984,3729721.42
KOR,1985,3557243.245
KOR,1991,2878097.321321689
KOR,1992,2818482.296459784
KOR,1993,2743539.822377718
KOR,1994,2625481.1949947504
KOR,1995,2518519.746029825
KOR,1996,2428592.929722224
KOR,1997,2405635.552347661
KOR,1998,2647602.7101225625
KOR,1999,2531916.0802909527
KOR,2000,2418886.802714807
KOR,2001,2310888.0340166413
KOR,2002,2207010.735622206
